id,capture_lat,capture_lon,locality,capture_month,capture_year,sex,maturity state,mantle_length,weight,notes
CAPEXI_173,27.454567,111.4892167,,,2016,F,3,15.7,0.0837503,
CAPEXI_174,27.454567,111.4892167,,,2016,F,5,17.7,0.1187258,
CAPEXI_175,27.454567,111.4892167,,,2016,F,2,15.2,0.0737573,
CAPEXI_176,27.454567,111.4892167,,,2016,F,2,14.5,0.0537713,
CAPEXI_177,27.454567,111.4892167,,,2016,M,5,15.1,0.0687608,
CAPEXI_178,27.454567,111.4892167,,,2016,M,5,13.5,0.0487748,
CAPEXI_179,27.454567,111.4892167,,,2016,F,2,15,0.0687608,
CAPEXI_180,27.454567,111.4892167,,,2016,F,4,16.2,0.0737573,
CAPEXI_181,27.454567,111.4892167,,,2016,F,3,17,0.0987398,
CAPEXI_182,27.454567,111.4892167,,,2016,F,2,11.9,0.0237923,
CAPEXI_183,27.454567,111.4892167,,,2016,F,3,15,0.0487748,
CAPEXI_184,27.454567,111.4892167,,,2016,F,2,14.7,0.0437783,
CAPEXI_185,27.454567,111.4892167,,,2016,M,5,14.1,0.0337853,
CAPEXI_186,27.454567,111.4892167,,,2016,F,5,16.2,0.0687608,
CAPEXI_187,27.454567,111.4892167,,,2016,F,5,16.5,0.0837503,
CAPEXI_188,27.454567,111.4892167,,,2016,F,3,17,0.0787538,
CAPEXI_189,27.454567,111.4892167,,,2016,F,3,16,0.0587678,
CAPEXI_190,27.454567,111.4892167,,,2016,F,5,16.1,0.0837503,
CAPEXI_191,27.454567,111.4892167,,,2016,F,5,17.5,0.0887468,
CAPEXI_192,27.454567,111.4892167,,,2016,F,5,17.5,0.0937433,
CAPEXI_193,27.454567,111.4892167,,,2016,M,5,14.2,0.0387818,
CAPEXI_194,27.454567,111.4892167,,,2016,F,3,15.1,0.0537713,
CAPEXI_195,27.454567,111.4892167,,,2016,F,5,16,0.0687608,
CAPEXI_196,27.454567,111.4892167,,,2016,M,5,14.9,0.0237923,
CAPEXI_197,27.454567,111.4892167,,,2016,F,5,20.1,0.1686908,
CAPEXI_198,27.454567,111.4892167,,,2016,F,5,17.5,0.1137293,
CAPEXI_199,27.454567,111.4892167,,,2016,F,5,17.7,0.1087328,
CAPEXI_200,27.454567,111.4892167,,,2016,M,5,18,0.1087328,
CAPEXI_201,27.454567,111.4892167,,,2016,F,4,15.1,0.0737573,
CAPEXI_202,27.454567,111.4892167,,,2016,M,5,15.6,0.0687608,
CAPEXI_203,27.454567,111.4892167,,,2016,F,5,19.4,0.1586978,
CAPEXI_204,27.454567,111.4892167,,,2016,F,5,20,0.1537013,
CAPEXI_206,27.454567,111.4892167,,,2016,F,3,15.9,0.0787538,
CAPEXI_207,27.454567,111.4892167,,,2016,F,2,14.1,0.0487748,
CAPEXI_209,27.454567,111.4892167,,,2016,F,5,19.9,0.1537013,
CAPEXII_035,27.927,-112.683,,7,2017,F,4,20.3,0.1933,
CAPEXII_036,28.273,-112.576,,7,2017,F,3,19.2,0.1706,
CAPEXII_037,28.648,-112.696,,7,2017,M,5,15.1,0.1815,
CAPEXII_038,26.82,-110.27,,7,2017,M,5,21.1,0.2253,
CAPEXII_039,28.858,-112.645,,7,2017,F,5,21.9,0.25857,
CAPEXII_040,27.395,-111.841,,7,2017,F,5,22.9,0.26279,
CAPEXII_041,27.395,-111.841,,7,2017,F,5,20.4,0.20589,
CAPEXII_042,27.395,-111.841,,7,2017,F,3,18.4,0.15679,
CAPEXII_043,28.412,-112.437,,7,2017,F,5,18,0.14481,
CAPEXII_044,28.412,-112.437,,7,2017,M,5,19.7,0.17827,
CAPEXII_045,28.412,-112.437,,7,2017,F,5,21.1,0.25396,
CAPEXII_046,28.412,-112.437,,7,2017,F,3,18.7,0.1287,
CAPEXII_047,28.553,-112.537,,7,2017,M,5,16.6,0.09776,
CAPEXII_048,28.553,-112.537,,7,2017,M,5,16.1,0.09138,
CAPEXII_049,28.553,-112.537,,7,2017,M,5,18.2,0.1226,
CAPEXII_050,28.553,-112.537,,7,2017,M,5,16.7,0.09875,
CAPEXII_051,27.503,-111.781,,7,2017,F,5,24.4,0.32995,
CAPEXII_052,27.503,-111.781,,7,2017,M,5,22.3,0.24665,
CAPEXII_053,27.503,-111.781,,7,2017,F,5,21.1,0.22809,
CAPEXII_054,27.503,-111.781,,7,2017,F,5,19.2,0.18087,
CAPEXII_055,27.503,-111.781,,7,2017,F,5,21.5,0.25538,
CAPEXII_056,27.503,-111.781,,7,2017,F,5,25.1,0.36148,
